Branch,ID,LoanApplicationID,ContractCustomerID,Account,Currency,Amount,Disbursed,ApprovedAmount,OutstandingAmount,DisbursedStat,ValueDate,Installment,Term,Cycle,MaturityDate,LoanProduct,Category,InterestRate,IRR,FreqType,Frequency,DeliqMode,LoanPurpose,ContractVB,Group,SourceOfFund,TotalInterest,AccrInterest,AccrCurrentInt,AccrIntCurrMonth,AccrIntPreMonth,IntIncEarned,AccrIntPerDay,NextAccrDate,Suspend,ContractOfficerID,LoanType,AssetClass,MoreThanOneYear,NextRunDate,Penalty,FirstCollectionDate,Classification,Sector,Industry,Ownership,LoanStatus,ClosedDate,WatchDay,FirstDueDate,MinAssetClass,DoneWatchDay,Vendor,OutstandingAmountAS,RepoStatus,AssetPrice,InstallmentAmount,DueDate
HO,LC23021600016,LA23021500004,CU000136,DD000122,USD,0,2550,2550,0,Y,16/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,764.96,0,0,0,0,0,0,,N,1010,N,0,Y,16/02/2023,Y,15/03/2023,A,,,,TMN,16/02/2023,0,,0,0,94022,0,,0,0,
HO,LC23021600023,LA23021500004,CU000136,DD000122,USD,0,2550,2550,0,Y,16/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1734.41,0,0,0,0,844.75,0,,N,1010,N,0,Y,29/02/2024,Y,15/03/2023,A,,,,TMN,29/02/2024,0,,0,0,94022,0,,0,0,
HO,LC23021700002,LA23021500016,CU000225,DD000185,USD,0,2700,2700,0,Y,17/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1828.33,0,0,0,0,1642.79,0,,N,1006,N,0,Y,23/10/2025,Y,15/03/2023,A,,,,TMN,23/10/2025,0,,0,0,94001,0,,2700,126.45,15
HO,LC23022000001,LA23021600021,CU000347,DD000315,USD,0,2750,2750,0,Y,20/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1836.48,0,0,0,0,1210.48,0,,N,1009,N,30,Y,17/08/2024,Y,15/03/2023,A,,,,TMN,17/08/2024,0,15/09/2023,0,0,94042,0,RepoForSale,2750,128.8,15
HO,LC23022000008,LA23021500009,CU000187,DD000136,USD,0,2850,2850,0,Y,20/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1802.58,0,0,0,0,1640.7,0,,N,1012,N,0,Y,24/11/2025,Y,15/03/2023,A,,,,TMN,24/11/2025,0,,0,0,94049,0,,2850,130.54,15
HO,LC23022000009,LA23021600018,CU000326,DD000297,USD,0,2850,2850,0,Y,20/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1317.44,0,0,0,0,601.9836257,0,,N,1008,N,0,Y,16/01/2024,Y,15/03/2023,A,,,,TMN,16/01/2024,0,,0,0,94022,0,RepoForSale,0,0,
HO,LC23022000010,LA23021600025,CU000381,DD000337,USD,0,2750,2750,0,Y,20/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1739.42,0,0,0,0,1219.77,0,,N,1018,N,20,Y,30/09/2024,Y,15/03/2023,A,,,,TMN,30/09/2024,0,15/07/2023,0,0,94043,0,,2750,125.96,15
HO,LC23022000011,LA23021600015,CU000301,DD000257,USD,0,2750,2750,0,Y,20/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1836.48,0,0,0,0,580.65,0,,N,1018,N,0,Y,08/10/2023,Y,15/03/2023,A,,,,TMN,08/10/2023,0,,0,0,94043,0,,0,0,
HO,LC23022000012,LA23021600029,CU000424,DD000354,USD,0,2950,2950,0,Y,20/02/2023,30,30,1,15/08/2025,102,123210005,18,,1,1,3,3,,,,1607.88,0,0,0,0,1499.76,0,,N,1016,N,0,Y,24/07/2025,Y,15/03/2023,A,,,,MRT,23/07/2025,0,,0,0,94028,0,,2950,153.44,15
HO,LC23022000013,LA23021600026,CU000387,DD000345,USD,0,2750,2750,0,Y,20/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1901.95,0,0,0,0,1715.1,0,,N,1011,N,0,Y,07/01/2026,Y,15/03/2023,A,,,,TMN,07/01/2026,0,,0,0,94022,0,,2750,130.7,15
